"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"	"inbreed"	"het2"	"F_inbreeding"	"agevals"	"ages"	"k"	"vk"
"Ho36"	37	3431	375	312	0.0267566123430403	0.3031	0.0075	4377.00643212281	294.800771611175	4704.50501779883	87.6565464799826	0.00230652474380633	0.303072401816725	0	"0/1/2/3/4"	"2385/612/395/319/32"	2.73684210526316	4.95668374476013
"Ho37"	38	4292	299	255	0.0485374972509347	0.3022	0.0127	4344.63033624592	296.514663301463	4674.67855504229	138.464753370092	0.00012684035634325	0.30216626347042	0	"0/1/2/3/4"	"3014/955/267/285/26"	1.90298507462687	1.77247222533947
"Ho38"	39	3718	224	185	0.066807583909813	0.3009	0.0087	4343.2287960982	296.579537444083	4672.43742644761	63.7775866863682	-0.000524935322249287	0.300924929541378	0	"0/1/2/3/4"	"1922/1327/417/195/42"	2.15116279069767	3.72982216142271
"Ho39"	40	3872	323	278	0.038710843373494	0.3016	0.0045	4324.58179076951	294.135828381621	4650.3427951697	127.460777766744	0.000248563913743949	0.301626506024096	0	"0/1/2/3/4/5"	"2625/715/485/290/33/2"	2.18897637795276	2.15448068991376
"Ho40"	41	4108	368	315	0.0416572462129776	0.3017	0.0035	4311.98155617203	294.794419458664	4637.75775595684	88.2302822442069	0.000814840324705024	0.301677594392946	0	"0/1/2/3/4"	"3027/778/247/348/23"	2.66949152542373	5.04367666232073
"Ho41"	42	3983	210	182	0.069327731092437	0.3005	-0.0025	4306.76567304063	296.231708309509	4633.6734656408	72.7381775583592	0.00237974973989852	0.300523409363745	0	"0/1/2/3/4"	"2132/1438/374/179/42"	2.14117647058824	2.88459383753501
"Ho42"	43	3741	283	230	0.041866028708134	0.3007	0.002	4298.44645082133	293.363540592837	4622.10747629267	118.65874097247	0.001934342406537	0.300654746915135	0	"0/1/2/3/4"	"2449/752/497/253/20"	1.98275862068966	1.87796101949025
"Ho43"	44	3500	375	311	0.0333901863028077	0.3009	0.0066	4283.60227357649	293.113914661953	4606.18560031171	92.1074145476679	0.00143858540534114	0.300913146155865	0	"0/1/2/3/4"	"2643/626/185/331/26"	2.41085271317829	4.71269379844961
"Ho44"	45	3898	160	130	0.0455436941410129	0.3012	0	4261.9162523742	294.575833561684	4586.51642281052	70.5069233578203	0.000443164756657399	0.301164349553128	0	"0/1/2/3/4/5"	"2178/1347/344/131/27/1"	1.80555555555556	1.8489827856025
"Ho45"	46	4145	257	217	0.034743237047226	0.2979	0.0092	4253.09252799254	289.170914552285	4573.28027074216	77.9470274893646	0.000977780436520082	0.297948188904172	0	"0/1/2/3/4"	"2577/963/559/244/19"	2.35869565217391	3.33146201624462
