"n"	"n.juveniles"	"nadult.1"	"nadult.2"	"phenotypes"	"ho"	"fis"	"ne1"	"ne2"	"ne3"	"ne4"
"Ho"	161	841	317	317	0.543609671848014	0.3542	-0.0013	1292.01584345631	413.269590613333	1718.37685148488	568.175094155996
"Ho"	162	766	296	296	0.540960451977401	0.3541	-9e-04	1287.72647305737	412.491520002558	1713.22740245804	581.080063033335
"Ho"	163	834	265	265	0.562784349408553	0.3522	0.002	1282.33508472427	411.491867992815	1706.76688442344	545.422501764087
"Ho"	164	862	254	254	0.516129032258065	0.3526	-8e-04	1278.11986076065	410.101048023126	1700.99583244923	593.744151344578
"Ho"	165	857	246	246	0.53558476881233	0.3552	-0.0059	1274.3687279891	408.569979222774	1695.57629693853	601.349208122054
"Ho"	166	756	252	252	0.567956349206349	0.3554	-0.0052	1270.61839114337	406.940113595474	1690.07341254961	644.009746537066
"Ho"	167	784	269	269	0.572174738841405	0.3539	-0.0028	1265.42927612627	405.438424087821	1683.21219216833	642.381628523354
"Ho"	168	870	275	275	0.525982532751092	0.352	0.0067	1260.79327166486	404.210770535494	1677.20146257092	596.864564433833
"Ho"	169	1001	266	266	0.529992107340174	0.3528	0.0026	1257.43123235735	403.083438896319	1672.57396044985	532.941306848048
"Ho"	170	934	250	250	0.551309121621622	0.3525	0.0023	1255.52806682799	401.858006732087	1669.41189941172	535.489955206463
"Ho"	171	978	288	288	0.546603475513428	0.3547	-0.0014	1252.99077182473	400.427228361728	1665.39558961231	549.971936608372
"Ho"	172	799	295	295	0.505255941499086	0.3536	0.0037	1250.93385135638	399.515183511772	1662.32875492922	470.384776227771
"Ho"	173	717	317	317	0.568665377176016	0.3546	1e-04	1246.83362199418	398.693946401539	1657.32309842522	476.046704005166
"Ho"	174	956	293	293	0.599879903923139	0.3569	-0.0078	1241.53049962791	398.100915005087	1651.56812831642	469.074049223914
"Ho"	175	806	300	300	0.599231464737794	0.3559	-0.006	1239.40305665427	397.281906494485	1648.51446982815	497.295619312047
"Ho"	176	1010	259	259	0.567375886524823	0.3541	-0.004	1235.6064200059	396.547109184079	1643.90665197363	617.351949355805
"Ho"	177	871	267	267	0.548550087873462	0.3555	-0.0068	1234.04022178032	395.35415067825	1641.15180416809	681.498745979676
"Ho"	178	804	255	255	0.565155807365439	0.3525	-0.0011	1231.14106874084	394.283288058107	1637.06250609596	609.658604520645
"Ho"	179	833	290	290	0.618655387355298	0.3485	0.0084	1227.47746236869	393.077095717243	1632.05761852417	550.257314662171
"Ho"	180	747	276	276	0.623900293255132	0.3515	0.0034	1224.23861682221	392.298113821114	1627.93501832845	541.004530887391
"Ho"	181	674	271	271	0.61984126984127	0.3511	7e-04	1219.90879689896	391.381910560609	1622.60445324393	493.330412359914
"Ho"	182	870	257	257	0.602706299911269	0.3514	-2e-04	1214.4741678856	390.423725121813	1616.20177837843	482.669603022252
"Ho"	183	890	242	242	0.619920494699647	0.3508	-9e-04	1211.83777273356	389.31320180493	1612.35627024742	519.479496699984
"Ho"	184	902	242	242	0.598339160839161	0.3492	0.0049	1209.44785437113	388.022481619326	1608.62616508569	493.080209373928
"Ho"	185	771	263	263	0.596228239845261	0.3512	0.0031	1207.21155218341	386.754182895757	1605.08327739273	484.168749351
"Ho"	186	1001	256	256	0.600238663484487	0.3523	-0.0034	1203.53087023994	385.772967842451	1600.30567370737	458.664282226706
"Ho"	187	917	292	292	0.605252274607113	0.3495	0.0027	1202.22310654132	384.724437263963	1597.95929304487	498.857142857143
"Ho"	188	957	301	301	0.576112877583466	0.3505	9e-04	1200.22675478074	384.072234461803	1595.21484239024	517.96608858097
"Ho"	189	960	255	255	0.576543209876543	0.3509	0.0014	1198.60637005871	383.509235784462	1592.94357333762	436.663745051894
"Ho"	190	859	312	312	0.574508966695132	0.3505	0.0021	1197.03218848168	382.489349613396	1590.32614330573	526.348206873258
"Ho"	191	944	285	285	0.566517493897478	0.3516	0.0017	1194.55808099814	382.035074917707	1587.33449939469	531.417696938313
"Ho"	192	921	316	316	0.542643492320129	0.3515	-4e-04	1192.90037607173	381.355276299062	1584.91508994276	534.197249979099
"Ho"	193	988	303	303	0.538729666924864	0.3521	-0.0023	1191.06896490472	380.944926205001	1582.59677404498	513.102203115617
"Ho"	194	920	301	301	0.596437346437346	0.3528	-2e-04	1189.80188514314	380.437851865678	1580.74681770065	536.492357833853
"Ho"	195	836	307	307	0.557961504811899	0.3501	0.0028	1188.00601858456	379.921016070985	1578.34973615181	532.793418501887
"Ho"	196	1021	300	300	0.543906131718395	0.3489	0.0021	1185.44630668013	379.458800731364	1575.27283723955	508.642161710955
"Ho"	197	875	295	295	0.526495726495727	0.3503	7e-04	1184.47296020274	378.946714821487	1573.72733169462	569.469290823244
"Ho"	198	812	298	298	0.555855855855856	0.3487	2e-04	1182.35023111778	378.400118472286	1570.97560368631	659.270361797344
"Ho"	199	889	292	292	0.567104149026249	0.3488	4e-04	1179.63292674987	377.885203972112	1567.68747156058	673.062796672649
"Ho"	200	911	304	304	0.519547325102881	0.3476	0.0033	1177.69818063986	377.327503662063	1565.11232092983	779.325625816829
"Ho"	201	937	256	256	0.509010896898575	0.3473	0.003	1175.97682564604	376.872978091649	1562.86056479966	775.571419215404
"Ho"	202	834	299	299	0.488746690203001	0.3487	8e-04	1174.48654457441	375.989757442667	1560.45369601969	626.311793606967
"Ho"	203	764	302	302	0.568480300187617	0.3486	-4e-04	1172.11760641617	375.511090801423	1557.54466530347	589.207929140584
"Ho"	204	842	283	283	0.572666666666667	0.3487	-5e-04	1169.04132686518	375.06136043697	1554.01474516655	560.914565502903
"Ho"	205	902	265	265	0.563624678663239	0.3488	0.0019	1166.81973568074	374.46422737027	1551.11517531182	491.605735116124
"Ho"	206	847	267	267	0.57181328545781	0.3491	-0.0018	1165.15105905164	373.711203749873	1548.62870057019	632.838342586277
"Ho"	207	788	269	269	0.520577105014191	0.346	0.0079	1163.03038557884	372.987558222045	1545.70123669483	666.128657317981
"Ho"	208	1091	274	274	0.538278388278388	0.3499	-0.0028	1160.3625221926	372.292305312283	1542.2565104212	632.609673340155
"Ho"	209	1126	293	293	0.543516560958421	0.3483	-0.0013	1160.00795564477	371.651329982476	1541.29425189548	646.874593652963
"Ho"	210	925	282	282	0.579328914664457	0.3482	-0.0042	1159.84034790808	371.174602250505	1540.65894455575	459.710044888691
"Ho"	211	949	326	326	0.591176470588235	0.3489	-0.0022	1158.43984126533	370.616520845003	1538.63354177196	494.182787116782
"Ho"	212	891	287	287	0.58616298811545	0.3494	-9e-04	1157.22943794834	370.376284442024	1537.12721970864	417.970281847831
"Ho"	213	1030	267	267	0.601580570547417	0.3509	-0.0065	1155.60070340289	369.869441700297	1534.91996269052	448.614042739347
"Ho"	214	812	322	322	0.606701940035273	0.3507	-0.0117	1154.93950091552	369.201622165789	1533.59920490852	554.743152629715
"Ho"	215	910	297	297	0.599420049710025	0.3476	-7e-04	1152.66466179762	368.948894089262	1531.07807557701	504.256521128582
"Ho"	216	843	302	302	0.590393013100437	0.3484	-0.0034	1151.23678301102	368.53364722758	1529.16840157144	467.65414003546
